F040,Phase W to Gnd,Non-Resettable,A phase to ground fault detected between drive and motor,Check wiring between the drive and motor. Check motor for grounded phase. Replace drive
F041,Phase UV Short,Non-Resettable,Excessive current detected between two output terminals,Check motor and drive output terminal wiring. Replace drive if fault doesn't clear
F042,Phase UW Short,Non-Resettable,Excessive current detected between two output terminals,Check motor and drive output terminal wiring. Replace drive if fault doesn't clear
F043,Phase VW Short,Non-Resettable,Excessive current detected between two output terminals,Check motor and drive output terminal wiring. Replace drive if fault doesn't clear
F048,Params Defaulted,Auto-Reset/Run,The drive was commanded to write default values to EEPROM,Clear the fault or cycle power. Program the drive paramaters as needed
F059,Safety Open,Auto-Reset/Run,Both of the safety inputs (1/2) are not enabled,Configure with t105. Check safety input signals. If not using safety: verify and tighten jumper for I/O terminals
F063,SW Over Current,Auto-Reset/Run,Programmed A486/A488 exceeded time A487/A489,Verify connections between motor and load. Verify level and time requirements
F064,Drive Overload,Non-Resettable,Drive overload rating has been exceeded,Reduce load or extend Accel Time
F070,Power Unit,Non-Resettable,Failure has been detected in the drive power section,Check ambient temperature has not been exceeded. Cycle power. Replace Drive if cannot clear
F071,DSI Net Loss,Non-Resettable,Control over the Modbus or DSI Communication is interrupted,Cycle Power. Check communications cabling. Check Modbus or DSI setting and status
F072,Opt Net Loss,Non-Resettable,Control over the network option card's network is interrupted,Cycle Power. Check communications cabling. Check network adapter setting. Check external network setting
F073,EN Net Loss,Non-Resettable,Control through the embedded EtherNet/IP adapter interrupted,Cycle power. Check communications cabling. Check EtherNet/IP setting. Check external network setting
F080,Autotune Failure,Non-Resettable,The autotune function was either cancelled by user or failed,Restart Procedure
F081,DSI Comm Loss,Non-Resettable,Communications between drive and DSI master is interrupted,Cycle Power. Check communications cabling. Check Modbus or DSI setting/status. Modify using C125. 
F082,Opt Comm Loss,Non-Resettable,Communications between drive and network option card is interrupted.,Cycle power. Reinstall option card. Modify using C125. Replace wiring/port expander/option card/control module.
F083,EN Comm Loss,Non-Resettable,Internal communications between drive and EtherNet/IP is intterupted,Cycle Power. Check EtherNet/IP Setting. Check drive's ethernet setting. Modify using C125
F091,Encoder Loss,Non-Resettable,Requires differential encoder. One of the 2 encoder channels are missing,"Check Wiring. If P047/P049/P051 = 16 Positioning and A535 = 5 ""Quad Check"" Swap encoder channels. Replace Encoder"
F094,Function Loss,Non-Resettable,Freeze-Fire input is inactive. Input to the programmed terminal is open,Close input to the terminal and cycle power
F100,Paramter ChkSum,Non-Resettable,Drive parameter non-volatile storage is corrupted,Set P053 to 2
F101,External Storrage,Non-Resettable,External non-volatile storage has failed,Set P053 to 2
F105,C Connect Err,Non-Resettable,Control module was disconnected while drive was powered,Clear fault and verify all paramter settings. Do not remove or install the control module while power is applied
F106,Incompat C-P ,Non-Resettable,The PowerFlex 525 module does not support .25 HP power rated power modules.,Change to a different power module. Change to a PowerFlex 523 control module
F107,Replaced C-P,Non-Resettable,The control module couldn't recognize the power module. Hardware failure,Change to a different power module. Replace control module if changing power module doesn't work
F109,Mismatch C-P,Non-Resettable,The control module was mounted to a different drive type power module,Set P053 to 3
F110,Keypad Membrane,Non-Resettable,Keypad membrane failure/disconnected,Cycle Power. Replace control module if fault cannot be cleared
F111,Safety Hardware,Non-Resettable,Safety input enable hardware malfunction. One of the safety inputs is not enabled.,Check safety input signals. If not using safety: verify and tighten jumper for I/O terminals. Replace control module
F114,uC Failure,Non-Resettable,Microprocessor failure,Cycle Power. Replace control module if fault cannot be cleared
F122,I/O Board Fail,Non-Resettable,Failure has been detected in the drive control and I/O Section,Cycle Power. Replace the drive or control module if the fault cannot be cleared. 
F125,Flash update Req,Non-Resettable,The firmware in the drive is corrupt/mismatched/or incompatible with hardware,Perform a firmware flash update operation to attempt to load a valid set of firmware
F126,NonRecoverableErr,Non-Resettable,A non-recoverable firmware or hardware error detected. Drive automatically reset,Clear fault or cycle power to the drive. Replace drive or control module if fault cannot be cleared
F127,DSI FLASH Update Req,Non-Resettable,A critical problem with the firmware was detected and the drive is using backup firmware,Perform a firmware flash update operation using DSI communications to attempt to load a valid set of firmware
